	论语	汉唐	习
社:	3	8	0
匹:	3	4	0
虞:	3	4	0
兵:	3	3	0
克:	3	3	0
邑:	3	3	0
授:	3	2	0
夜:	3	2	0
继:	3	2	0
履:	3	1	9	****
孤:	3	1	9	****
贯:	3	1	6	****
速:	3	1	3
邻:	3	1	3
帝:	3	1	0
润:	3	1	0
俟:	3	1	0
降:	3	1	0
似:	3	1	0
洁:	3	1	0
讼:	3	1	0
韶:	3	1	0
宁:	3	1	0
忍:	3	1	0
惟:	3	1	0
饱:	3	1	0
罔:	3	0	20	****
虑:	3	0	4	****
新:	3	0	3
功:	3	0	2
当:	3	0	1
尊:	3	0	0
拒:	3	0	0
溺:	3	0	0
桀:	3	0	0
系:	3	0	0
血:	3	0	0
火:	3	0	0
郑:	3	0	0
舆:	3	0	0
穷:	3	0	0
磬:	3	0	0
击:	3	0	0
寮:	3	0	0
优:	3	0	0
彼:	3	0	0
稼:	3	0	0
忿:	3	0	0
盗:	3	0	0
愬:	3	0	0
肤:	3	0	0
独:	3	0	0
讱:	3	0	0
会:	3	0	0
哂:	3	0	0
皙:	3	0	0
弒:	3	0	0
噫:	3	0	0
椁:	3	0	0
量:	3	0	0
冠:	3	0	0
羔:	3	0	0
亵:	3	0	0
鞠:	3	0	0
勃:	3	0	0
权:	3	0	0
地:	3	0	0
诈:	3	0	0
循:	3	0	0
忽:	3	0	0
瞽:	3	0	0
空:	3	0	0
分:	3	0	0
慢:	3	0	0
貌:	3	0	0
勐:	3	0	0
巫:	3	0	0
叶:	3	0	0
诺:	3	0	0
河:	3	0	0
虎:	3	0	0
暴:	3	0	0
启:	3	0	0
脩:	3	0	0
窃:	3	0	0
述:	3	0	0
矢:	3	0	0
逝:	3	0	0
史:	3	0	0
野:	3	0	0
陋:	3	0	0
原:	3	0	0
短:	3	0	0
乃:	3	0	0
面:	3	0	0
甯:	3	0	0
崔:	3	0	0
蔡:	3	0	0
藏:	3	0	0
平:	3	0	0
产:	3	0	0
申:	3	0	0
望:	3	0	0
屡:	3	0	0
逮:	3	0	0
参:	3	0	0
尚:	3	0	0
绎:	3	0	0
摄:	3	0	0
定:	3	0	0
每:	3	0	0
素:	3	0	0
争:	3	0	0
戚:	3	0	0
彻:	3	0	0
庭:	3	0	0
悔:	3	0	0
尤:	3	0	0
疑:	3	0	0
端:	3	0	0
顺:	3	0	0
耳:	3	0	0
谄:	3	0	0
就:	3	0	0
竭:	3	0	0
谨:	3	0	0
愠:	3	0	0
习:	3	0	0
兢:	2	22	7	****
昭:	2	9	0
罚:	2	7	0
万:	2	4	0
皇:	2	4	0
唐:	2	4	0
朕:	2	3	0
追:	2	2	10	****
情:	2	2	0
秀:	2	2	0
弥:	2	2	0
仰:	2	2	0
妇:	2	2	0
盛:	2	2	0
实:	2	2	0
豆:	2	2	0
彬:	2	2	0
性:	2	2	0
昼:	2	2	0
郁:	2	2	0
奢:	2	2	0
薄:	2	1	8	****
深:	2	1	6	****
兽:	2	1	0
工:	2	1	0
到:	2	1	0
绰:	2	1	0
诚:	2	1	0
谮:	2	1	0
浸:	2	1	0
瓜:	2	1	0
缁:	2	1	0
岁:	2	1	0
鸣:	2	1	0
灭:	2	1	0
口:	2	1	0
讷:	2	1	0
恕:	2	1	0
颠:	2	1	0
柏:	2	1	0
松:	2	1	0
代:	2	1	0
均:	2	0	14	****
务:	2	0	6	****
毅:	2	0	4	****
喻:	2	0	4	****
淫:	2	0	4	****
浮:	2	0	2
贪:	2	0	0
俨:	2	0	0
连:	2	0	0
伦:	2	0	0
丈:	2	0	0
滔:	2	0	0
津:	2	0	0
沮:	2	0	0
楚:	2	0	0
黜:	2	0	0
流:	2	0	0
朱:	2	0	0
肆:	2	0	0
肸:	2	0	0
佛:	2	0	0
鸡:	2	0	0
涂:	2	0	0
遇:	2	0	0
亢:	2	0	0
侮:	2	0	0
崩:	2	0	0
某:	2	0	0
蹈:	2	0	0
泣:	2	0	0
耕:	2	0	0
誉:	2	0	0
并:	2	0	0
幼:	2	0	0
荷:	2	0	0
栖:	2	0	0
蘧:	2	0	0
灵:	2	0	0
纠:	2	0	0
谲:	2	0	0
要:	2	0	0
讨:	2	0	0
即:	2	0	0
备:	2	0	0
狷:	2	0	0
斗:	2	0	0
合:	2	0	0
屋:	2	0	0
圃:	2	0	0
赦:	2	0	0
汤:	2	0	0
选:	2	0	0
慝:	2	0	0
辨:	2	0	0
鞹:	2	0	0
驷:	2	0	0
承:	2	0	0
雩:	2	0	0
浴:	2	0	0
春:	2	0	0
点:	2	0	0
饥:	2	0	0
闲:	2	0	0
论:	2	0	0
亿:	2	0	0
货:	2	0	0
白:	2	0	0
绥:	2	0	0
负:	2	0	0
式:	2	0	0
狎:	2	0	0
绅:	2	0	0
首:	2	0	0
馈:	2	0	0
市:	2	0	0
割:	2	0	0
馁:	2	0	0
玄:	2	0	0
）:	2	0	0
半:	2	0	0
（:	2	0	0
紫:	2	0	0
饰:	2	0	0
愉:	2	0	0
蹜:	2	0	0
圭:	2	0	0
屏:	2	0	0
顾:	2	0	0
翼:	2	0	0
右:	2	0	0
躩:	2	0	0
踖:	2	0	0
踧:	2	0	0
恂:	2	0	0
诵:	2	0	0
法:	2	0	0
惜:	2	0	0
覆:	2	0	0
篑:	2	0	0
椟:	2	0	0
瞻:	2	0	0
坚:	2	0	0
钻:	2	0	0
叹:	2	0	0
喟:	2	0	0
裳:	2	0	0
凤:	2	0	0
叩:	2	0	0
试:	2	0	0
纵:	2	0	0
搏:	2	0	0
沟:	2	0	0
悾:	2	0	0
洋:	2	0	0
挚:	2	0	0
吝:	2	0	0
绞:	2	0	0
吴:	2	0	0
败:	2	0	0
盈:	2	0	0
图:	2	0	0
哭:	2	0	0
侧:	2	0	0
隅:	2	0	0
愤:	2	0	0
夭:	2	0	0
户:	2	0	0
鮀:	2	0	0
祝:	2	0	0
城:	2	0	0
儒:	2	0	0
巷:	2	0	0
川:	2	0	0
轻:	2	0	0
盍:	2	0	0
乞:	2	0	0
再:	2	0	0
清:	2	0	0
晏:	2	0	0
枨:	2	0	0
朽:	2	0	0
愈:	2	0	0
客:	2	0	0
束:	2	0	0
雕:	2	0	0
土:	2	0	0
议:	2	0	0
纯:	2	0	0
坫:	2	0	0
两:	2	0	0
塞:	2	0	0
树:	2	0	0
遂:	2	0	0
栗:	2	0	0
睢:	2	0	0
关:	2	0	0
获:	2	0	0
媚:	2	0	0
指:	2	0	0
禘:	2	0	0
宋:	2	0	0
目:	2	0	0
狄:	2	0	0
林:	2	0	0
穆:	2	0	0
八:	2	0	0
劝:	2	0	0
害:	2	0	0
叟:	2	0	0
私:	2	0	0
馔:	2	0	0
别:	2	0	0
犬:	2	0	0
磨:	2	0	0
禽:	2	0	0
惮:	2	0	0
传:	2	0	0
允:	1	5	0
际:	1	4	0
总:	1	3	0
格:	1	3	0
良:	1	3	0
卒:	1	2	0
貊:	1	2	0
蛮:	1	2	0
俎:	1	2	0
衽:	1	2	0
被:	1	2	0
存:	1	2	0
起:	1	2	0
冰:	1	1	7	****
坦:	1	1	4	****
永:	1	1	0
历:	1	1	0
匏:	1	1	0
涅:	1	1	0
扶:	1	1	0
持:	1	1	0
阴:	1	1	0
助:	1	1	0
寒:	1	1	0
颂:	1	1	0
尺:	1	1	0
讲:	1	1	0
绁:	1	1	0
缧:	1	1	0
监:	1	1	0
磋:	1	1	0
弋:	1	0	8	****
纲:	1	0	8	****
钓:	1	0	4	****
类:	1	0	1
纳:	1	0	0
虐:	1	0	0
度:	1	0	0
审:	1	0	0
赉:	1	0	0
牡:	1	0	0
咨:	1	0	0
荣:	1	0	0
陵:	1	0	0
宜:	1	0	0
仞:	1	0	0
窥:	1	0	0
肩:	1	0	0
常:	1	0	0
坠:	1	0	0
更:	1	0	0
纣:	1	0	0
散:	1	0	0
诬:	1	0	0
区:	1	0	0
应:	1	0	0
扫:	1	0	0
洒:	1	0	0
谤:	1	0	0
泥:	1	0	0
嘉:	1	0	0
騧:	1	0	0
随:	1	0	0
突:	1	0	0
襄:	1	0	0
汉:	1	0	0
兆:	1	0	0
播:	1	0	0
秦:	1	0	0
缺:	1	0	0
缭:	1	0	0
亚:	1	0	0
黍:	1	0	0
拱:	1	0	0
芸:	1	0	0
植:	1	0	0
勤:	1	0	0
莜:	1	0	0
怃:	1	0	0
辍:	1	0	0
耰:	1	0	0
耦:	1	0	0
接:	1	0	0
奴:	1	0	0
箕:	1	0	0
讦:	1	0	0
徼:	1	0	0
窒:	1	0	0
讪:	1	0	0
弈:	1	0	0
通:	1	0	0
甘:	1	0	0
旨:	1	0	0
锦:	1	0	0
稻:	1	0	0
燧:	1	0	0
坏:	1	0	0
悲:	1	0	0
孺:	1	0	0
物:	1	0	0
详:	1	0	0
攷:	1	0	0
戾:	1	0	0
廉:	1	0	0
窬:	1	0	0
穿:	1	0	0
荏:	1	0	0
钟:	1	0	0
帛:	1	0	0
迩:	1	0	0
磷:	1	0	0
牟:	1	0	0
走:	1	0	0
扰:	1	0	0
戏:	1	0	0
刀:	1	0	0
莞:	1	0	0
弦:	1	0	0
移:	1	0	0
亟:	1	0	0
迷:	1	0	0
宝:	1	0	0
豚:	1	0	0
饿:	1	0	0
探:	1	0	0
聪:	1	0	0
壮:	1	0	0
躁:	1	0	0
愆:	1	0	0
宴:	1	0	0
佚:	1	0	0
柔:	1	0	0
陪:	1	0	0
萧:	1	0	0
戈:	1	0	0
析:	1	0	0
离:	1	0	0
倾:	1	0	0
龟:	1	0	0
柙:	1	0	0
兕:	1	0	0
列:	1	0	0
域:	1	0	0
蒙:	1	0	0
贞:	1	0	0
借:	1	0	0
慧:	1	0	0
责:	1	0	0
辂:	1	0	0
卷:	1	0	0
衡:	1	0	0
倚:	1	0	0
州:	1	0	0
滥:	1	0	0
粮:	1	0	0
胫:	1	0	0
壤:	1	0	0
冢:	1	0	0
薨:	1	0	0
揭:	1	0	0
浅:	1	0	0
蒉:	1	0	0
晨:	1	0	0
石:	1	0	0
骥:	1	0	0
亩:	1	0	0
觉:	1	0	0
逆:	1	0	0
暇:	1	0	0
沐:	1	0	0
怍:	1	0	0
